form	lemma	POS	morph
ང་	ང་	PRON
པདྨ་	པདྨ་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
རིགས་	རིགས་	NOUN
བྱེད་	བྱེད་	VERB
རྩལ་	རྩལ་	NOUN
གྱི་	གི་	PART
བསང་མཆོད་	བསང་མཆོད་	OTHER
པདྨ་	པདྨ་	NOUN
འི་	གི་	PART
དྲྭ་བ་	དྲྭ་བ་	NON_WORD
།		PUNCT
པདྨ་	པདྨ་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
རིགས་	རིགས་	NOUN
བྱེད་	བྱེད་	VERB
རྩལ་	རྩལ་	NOUN
གྱི་	གི་	PART
བསྐང་བ་	བསྐང་བ་	VERB
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
སྤྲིན་	སྤྲིན་	NOUN
གྱི་	གི་	PART
རོལ་མོ་	རོལ་མོ་	NOUN
།		PUNCT
པདྨ་	པདྨ་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
རིགས་	རིགས་	NOUN
བྱེད་	བྱེད་	VERB
རྩལ་	རྩལ་	NOUN
གྱི་	གི་	PART
ཚེ་སྒྲུབ་	ཚེ་སྒྲུབ་	NOUN
།		PUNCT
རོང་	རོང་	PROPN
ཟོམ་	ཟོམ་	NO_POS
པདྨ་	པདྨ་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
རིགས་	རིགས་	NOUN
བྱེད་	བྱེད་	VERB
རྩལ་	རྩལ་	NOUN
གྱི་	གི་	PART
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
གི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
སྲིད་	སྲིད་	NOUN
གསུམ་	གསུམ་	NUM
དབང་	དབང་	NOUN
དུ་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
འི་	གི་	PART
ལྕགས་ཀྱུ་	ལྕགས་ཀྱུ་	NOUN
།		PUNCT
པདྨ་	པདྨ་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
རིགས་	རིགས་	NOUN
བྱེད་	བྱེད་	VERB
རྩལ་	རྩལ་	NOUN
གྱི་	གི་	PART
བསྙེན་སྒྲུབ་	བསྙེན་སྒྲུབ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
མདོར་བསྡུས་	མདོར་བསྡུས་	OTHER
སུ་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
ཨུཏྤལ་	ཨུཏྤལ་	NO_POS
དམར་པོ་	དམར་པོ་	ADJ
འི་	གི་	PART
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
།		PUNCT
ཡ་	ཡ་	OTHER
རྗེ་	རྗེ་	NO_POS
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
གླིང་པ་	གླིང་པ་	NOUN
འི་	གི་	PART
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
རིག་འཛིན་	རིག་འཛིན་	OTHER
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
འབྲིང་པོ་	འབྲིང་པོ་	ADJ
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
བསྡུས་པ་	བསྡུས་པ་	VERB
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
ནར་མ་	ནར་མ་	ADJ
རིན་ཆེན་	རིན་ཆེན་	OTHER
སྙིང་པོ་	སྙིང་པོ་	NOUN
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
ནར་མ་	ནར་མ་	ADJ
རིན་ཆེན་	རིན་ཆེན་	OTHER
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
ཟུར་འདེབས་	ཟུར་འདེབས་	NO_POS
རིན་ཆེན་	རིན་ཆེན་	OTHER
ཕྲ་ཚོམ་	ཕྲ་ཚོམ་	OTHER
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
ལས་བྱང་	ལས་བྱང་	OTHER
གི་	གི་	PART
མཆོད་	མཆོད་	VERB
ཕྲེང་	ཕྲེང་	OTHER
ཅུང་ཟད་	ཅུང་ཟད་	ADV
སྤྲོས་པ་	སྤྲོས་པ་	VERB
།		PUNCT
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
།		PUNCT
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
བཀྲ་ཤིས་	བཀྲ་ཤིས་	NOUN
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
ལས་བྱང་	ལས་བྱང་	OTHER
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
རོལ་པ་	རོལ་པ་	VERB
འི་	གི་	PART
དགའ་སྟོན་	དགའ་སྟོན་	NOUN
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
རྒྱུན་	རྒྱུན་	NOUN
གྱི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
བཀའ་སྲུང་	བཀའ་སྲུང་	OTHER
མཆོད་ཐབས་	མཆོད་ཐབས་	NO_POS
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
བསྡུས་པ་	བསྡུས་པ་	VERB
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
སྐོང་	སྐོང་	NO_POS
བསྡུ་	བསྡུ་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
སིལ་མ་	སིལ་མ་	NOUN
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
དོན་	དོན་	NOUN
གྱི་	གི་	PART
དབང་	དབང་	NOUN
བཞི་	བཞི་	NUM
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
དོན་	དོན་	NOUN
གྱི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
ཁྲིད་	ཁྲིད་	VERB
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
རྒྱུན་	རྒྱུན་	NOUN
གྱིས་	གིས་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
སྦྱོར་	སྦྱོར་	VERB
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
དབང་དོན་	དབང་དོན་	NO_POS
བདག་འཇུག་	བདག་འཇུག་	OTHER
གི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
བཅུད་	བཅུད་	NOUN
འབེབས་	འབེབས་	VERB
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
དོན་	དོན་	NOUN
གྱི་	གི་	PART
དབང་	དབང་	NOUN
བཞི་	བཞི་	NUM
མཚམས་	མཚམས་	NOUN
སྦྱོར་	སྦྱོར་	VERB
ཕྱག་ལེན་	ཕྱག་ལེན་	NOUN
གྱིས་	གིས་	PART
བརྒྱན་པ་	བརྒྱན་པ་	VERB
རྒྱུད་	རྒྱུད་	NOUN
ལུང་	ལུང་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
བཅུད་	བཅུད་	NOUN
ཐིག་	ཐིག་	NOUN
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
ལྷ་དབང་	ལྷ་དབང་	OTHER
བཀོལ་	བཀོལ་	NO_POS
བྱང་	བྱང་	NOUN
།		PUNCT
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
ཚོམ་བུ་	ཚོམ་བུ་	OTHER
ཚོགས་	ཚོགས་	NOUN
སུ་	ལ་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
ཐོ་	ཐོ་	NOUN
།		PUNCT
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
སྒྲུབ་	སྒྲུབ་	VERB
ཆེན་	ཆེན་	NO_POS
བཟླས་པ་	བཟླས་པ་	VERB
འི་	གི་	PART
སྐབས་	སྐབས་	NOUN
སུ་	ལ་	PART
ཛབ྄་		NON_WORD
བསྐུལ་	བསྐུལ་	VERB
རྒྱས་པ་	རྒྱས་པ་	VERB
།		PUNCT
སྒྲུབ་	སྒྲུབ་	VERB
ཆེན་	ཆེན་	NO_POS
གྱི་	གི་	PART
གཏོང་	གཏོང་	VERB
ཐུན་	ཐུན་	NOUN
སྤྱི་ཁྱབ་	སྤྱི་ཁྱབ་	OTHER
ལྷ་	ལྷ་	NOUN
འི་	གི་	PART
ཏམྦུ་		NON_WORD
ར་	ར་	ADP
འི་	གི་	PART
དབྱངས་སྙན་	དབྱངས་སྙན་	OTHER
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
བཀོད་པ་	བཀོད་པ་	VERB
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
བསྙེན་	བསྙེན་	VERB
བསྒྲུབ་བྱ་	བསྒྲུབ་བྱ་	VERB
ཚུལ་	ཚུལ་	NOUN
མདོར་བསྡུས་	མདོར་བསྡུས་	OTHER
སྙིང་པོ་	སྙིང་པོ་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
དོ་ཤལ་	དོ་ཤལ་	OTHER
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
ཆ་ལག་	ཆ་ལག་	NOUN
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
རྒྱུན་	རྒྱུན་	NOUN
གྱི་	གི་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
སྦྱོར་	སྦྱོར་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
རིམ་པ་	རིམ་པ་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
བསྒྲུབ་པ་	བསྒྲུབ་པ་	VERB
བདུད་རྩི་	བདུད་རྩི་	NOUN
སྨན་	སྨན་	NOUN
གྱི་	གི་	PART
ལག་ལེན་	ལག་ལེན་	NOUN
ངག་འདོན་	ངག་འདོན་	OTHER
ཁྲིགས་	ཁྲིགས་	VERB
སུ་	ལ་	PART
བསྡེབས་པ་	བསྡེབས་པ་	VERB
འི་	གི་	PART
རིན་ཆེན་	རིན་ཆེན་	OTHER
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
བུམ་	བུམ་	NOUN
བཟང་	བཟང་	VERB
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
དམ་རྫས་	དམ་རྫས་	NOUN
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
བཅུད་ལེན་	བཅུད་ལེན་	NOUN
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
ཚོགས་སྒྲུབ་	ཚོགས་སྒྲུབ་	NOUN
སྨན་	སྨན་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
སྦྲེལ་མ་	སྦྲེལ་མ་	NO_POS
འི་	གི་	PART
སྐབས་	སྐབས་	NOUN
ཉེ་	ཉེ་	NUM
མཁོ་	མཁོ་	NO_POS
འི་	གི་	PART
གཏོང་	གཏོང་	VERB
ཐུན་	ཐུན་	NOUN
རྣམ་	རྣམ་	NOUN
ཕྱོགས་	ཕྱོགས་	NOUN
གཅིག་	གཅིག་	NUM
ཏུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
ལྷ་	ལྷ་	NOUN
འི་	གི་	PART
སིལ་སྙན་	སིལ་སྙན་	NOUN
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
ཆ་ལག་	ཆ་ལག་	NOUN
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
རྒྱུན་	རྒྱུན་	NOUN
གྱི་	གི་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
སྦྱོར་	སྦྱོར་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
རིམ་པ་	རིམ་པ་	NOUN
གསུམ་པ་	གསུམ་པ་	NUM
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
མྱུར་	མྱུར་	VERB
དུ་	ལ་	PART
འགྲུབ་	འགྲུབ་	VERB
བྱེད་ལས་	བྱེད་ལས་	NOUN
བཞི་	བཞི་	NUM
འི་	གི་	PART
མེ་	མེ་	NOUN
མཆོད་	མཆོད་	VERB
ལག་ལེན་	ལག་ལེན་	NOUN
ངག་འདོན་	ངག་འདོན་	OTHER
ཁྲིགས་	ཁྲིགས་	VERB
སུ་	ལ་	PART
བསྡེབས་པ་	བསྡེབས་པ་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
འོད་	འོད་	NOUN
ཀྱི་	གི་	PART
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
།		PUNCT
དཔའ་	དཔའ་	NOUN
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
གི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
རབ་	རབ་	ADV
འབའ་	འབའ་	VERB
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ལ་	ལ་	PART
བརྟེན་པ་	བརྟེན་པ་	VERB
འི་	གི་	PART
རབ་གནས་	རབ་གནས་	NOUN
ཀྱི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
མདོར་བསྡུས་	མདོར་བསྡུས་	OTHER
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཆ་	ཆ་	NOUN
ར་	ལ་	PART
འབེབས་	འབེབས་	VERB
།		PUNCT
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
ཆ་ལག་	ཆ་ལག་	NOUN
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
རྒྱུན་	རྒྱུན་	NOUN
གྱི་	གི་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
སྦྱོར་	སྦྱོར་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
རིམ་པ་	རིམ་པ་	NOUN
དང་པོ་	དང་པོ་	ADJ
བར་ཆད་	བར་ཆད་	NOUN
བཟློག་པ་	བཟློག་པ་	VERB
དམར་	དམར་	VERB
ཆེན་	ཆེན་	NO_POS
གཏོར་མ་	གཏོར་མ་	NOUN
འི་	གི་	PART
ལས་རིམ་	ལས་རིམ་	OTHER
གྱི་	གི་	PART
ལག་ལེན་	ལག་ལེན་	NOUN
ངག་འདོན་	ངག་འདོན་	OTHER
ཁྲིགས་	ཁྲིགས་	VERB
སུ་	ལ་	PART
བསྡེབས་པ་	བསྡེབས་པ་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
རྩེ་མོ་	རྩེ་མོ་	NOUN
བརྒྱ་པ་	བརྒྱ་པ་	NUM
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
།		PUNCT
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
སྨན་	སྨན་	NOUN
སྒྲུབ་གཏོར་	སྒྲུབ་གཏོར་	NO_POS
ཟློག་	ཟློག་	VERB
བཅའ་	བཅའ་	VERB
ཀྱི་	གི་	PART
ཟིན་ཐོ་	ཟིན་ཐོ་	OTHER
།		PUNCT
