form	lemma	POS	morph
ཕ་	ཕ་	NOUN
ཐིག་ལེ་	ཐིག་ལེ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
འཕོ་བ་	འཕོ་བ་	VERB
མ་	མ་	PART
སྒོམ་	སྒོམ་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
བཞུགས་	བཞུགས་	VERB
།		PUNCT
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
དམ་ཚིག་	དམ་ཚིག་	NOUN
གི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
།		PUNCT
གསང་བ་	གསང་བ་	VERB
དོན་	དོན་	NOUN
གྱི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
ཁྲིགས་	ཁྲིགས་	VERB
སུ་	ལ་	PART
བསྡེབ་པ་	བསྡེབ་པ་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ལམ་བཟང་	ལམ་བཟང་	OTHER
།		PUNCT
ལྕེ་	ལྕེ་	NOUN
བཙུན་	བཙུན་	VERB
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
གི་	གི་	PART
ཁ་སྐོང་	ཁ་སྐོང་	NOUN
བུམ་པ་	བུམ་པ་	NOUN
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
།		PUNCT
ལྕེ་	ལྕེ་	NOUN
བཙུན་	བཙུན་	VERB
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
གི་	གི་	PART
ཚོགས་མཆོད་	ཚོགས་མཆོད་	NOUN
།		PUNCT
རུ་	ལ་	PART
ཟུང་	ཟུང་	VERB
བཞི་	བཞི་	NUM
འི་	གི་	PART
སྐོང་	སྐོང་	NO_POS
བཤགས་	བཤགས་	NO_POS
མདོར་བསྡུས་	མདོར་བསྡུས་	OTHER
བྱ་	བྱ་	VERB
ཚུལ་	ཚུལ་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
རབ་	རབ་	ADV
སྣང་	སྣང་	VERB
།		PUNCT
ལྕེ་	ལྕེ་	NOUN
བཙུན་	བཙུན་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
བི་མ་ལ་	བི་མ་ལ་	NO_POS
འི་	གི་	PART
ཟབ་	ཟབ་	VERB
ཏིག་	ཏིག་	NO_POS
གི་	གི་	PART
ཉེ་	ཉེ་	VERB
བརྒྱུད་	བརྒྱུད་	NO_POS
སྐོང་བ་	སྐོང་བ་	VERB
དད་པ་	དད་པ་	VERB
འི་	གི་	PART
གདུང་དབྱངས་	གདུང་དབྱངས་	NOUN
།		PUNCT
ལྕེ་	ལྕེ་	NOUN
བཙུན་	བཙུན་	VERB
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
གི་	གི་	PART
བཀའ་སྲུང་	བཀའ་སྲུང་	OTHER
རྒྱུན་གཏོར་	རྒྱུན་གཏོར་	NO_POS
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
ཐོགས་མེད་	ཐོགས་མེད་	PROPN
།		PUNCT
ལྕེ་	ལྕེ་	NOUN
བཙུན་	བཙུན་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
བི་	བི་	NO_POS
མ་	མ་	PART
འི་	གི་	PART
ཟབ་	ཟབ་	VERB
ཏིག་	ཏིག་	NO_POS
གི་	གི་	PART
སྨིན་	སྨིན་	VERB
ཁྲིད་	ཁྲིད་	VERB
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
བྱེད་པ་	བྱེད་པ་	VERB
འི་	གི་	PART
སྐབས་	སྐབས་	NOUN
།		PUNCT
ལྕེ་	ལྕེ་	NOUN
བཙུན་	བཙུན་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
བི་མ་ལ་	བི་མ་ལ་	NO_POS
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
གི་	གི་	PART
སྨིན་	སྨིན་	VERB
བྱེད་	བྱེད་	VERB
ལག་ལེན་	ལག་ལེན་	NOUN
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
གསེར་འགྱུར་	གསེར་འགྱུར་	NOUN
རྩི་	རྩི་	NOUN
མཆོག་	མཆོག་	ADJ
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ལྕེ་	ལྕེ་	NOUN
བཙུན་	བཙུན་	VERB
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
གི་	གི་	PART
དབང་	དབང་	NOUN
ཆོག་	ཆོག་	VERB
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
གྲུ་ཆར་	གྲུ་ཆར་	OTHER
།		PUNCT
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
མན་ངག་	མན་ངག་	NOUN
སྡེ་	སྡེ་	NOUN
འི་	གི་	PART
བཅུད་	བཅུད་	NOUN
ཕུ་	ཕུ་	VERB
ལྕེ་	ལྕེ་	NOUN
བཙུན་	བཙུན་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
བི་མ་ལ་	བི་མ་ལ་	NO_POS
འི་	གི་	PART
ཟབ་	ཟབ་	VERB
ཏིག་	ཏིག་	NO_POS
གི་	གི་	PART
ཁྲིད་ཡིག་	ཁྲིད་ཡིག་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
བཅུད་	བཅུད་	NOUN
དྲིལ་	དྲིལ་	VERB
ཐིག་ལེ་	ཐིག་ལེ་	NOUN
གསང་	གསང་	VERB
རྫོགས་	རྫོགས་	VERB
།		PUNCT
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
མན་ངག་	མན་ངག་	NOUN
སྡེ་	སྡེ་	NOUN
འི་	གི་	PART
བཅུད་	བཅུད་	NOUN
ཕུ་	ཕུ་	VERB
མན་ངག་	མན་ངག་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཀྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཀློང་	ཀློང་	NOUN
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
ཡི་གེ་	ཡི་གེ་	NOUN
དུམ་བུ་	དུམ་བུ་	NOUN
གསུམ་པ་	གསུམ་པ་	NUM
ལྕེ་	ལྕེ་	NOUN
བཙུན་	བཙུན་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
བཱི་		NON_WORD
མ་ལ་	མ་ལ་	INTJ
འི་	གི་	PART
ཟབ་	ཟབ་	VERB
ཏིག་	ཏིག་	NO_POS
གི་	གི་	PART
བཤད་	བཤད་	VERB
ཁྲིད་	ཁྲིད་	VERB
ཆུ་	ཆུ་	NOUN
འབབས་		NON_WORD
སུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
བཅུད་	བཅུད་	NOUN
དྲིལ་	དྲིལ་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཐིག་ལེ་	ཐིག་ལེ་	NOUN
།		PUNCT
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ལྕེ་	ལྕེ་	NOUN
བཙུན་	བཙུན་	VERB
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
གི་	གི་	PART
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
འི་	གི་	PART
ཁྲིད་ཡིག་	ཁྲིད་ཡིག་	NOUN
རིག་འཛིན་	རིག་འཛིན་	OTHER
ཞལ་ལུང་	ཞལ་ལུང་	OTHER
།		PUNCT
འོད་གསལ་	འོད་གསལ་	NOUN
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཡང་གསང་	ཡང་གསང་	OTHER
བླ་	བླ་	NOUN
ན་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
སྤྱི་	སྤྱི་	DET
འི་	གི་	PART
ཁྱད་པར་	ཁྱད་པར་	NOUN
གྱི་	གི་	PART
ཁྲིད་ཡིག་	ཁྲིད་ཡིག་	NOUN
ལམ་བཟང་	ལམ་བཟང་	OTHER
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
།		PUNCT
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ལྕེ་	ལྕེ་	NOUN
བཙུན་	བཙུན་	VERB
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
ཁྲིད་	ཁྲིད་	VERB
ཀྱི་	གི་	PART
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
དགོངས་	དགོངས་	VERB
རྒྱན་	རྒྱན་	NOUN
།		PUNCT
ལྕེ་	ལྕེ་	NOUN
བཙུན་	བཙུན་	VERB
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
ཟབ་	ཟབ་	VERB
ཁྲིད་	ཁྲིད་	VERB
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཞལ་ལུང་	ཞལ་ལུང་	OTHER
བསླད་	བསླད་	NO_POS
མེད་	མེད་	VERB
ཡིད་	ཡིད་	NOUN
ལ་	ལ་	PART
གང་	གང་	NO_POS
ཟིན་	ཟིན་	VERB
གྱི་	གི་	PART
ཟིན་ཐོ་	ཟིན་ཐོ་	OTHER
།		PUNCT
