form	lemma	POS	morph
ག་	ག་	PRON
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ལམ་བཟང་	ལམ་བཟང་	OTHER
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
སྤྱི་	སྤྱི་	DET
འདུ་	འདུ་	VERB
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
གི་	གི་	PART
ཟུར་འདེབས་	ཟུར་འདེབས་	NO_POS
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྒྱུ་འཕྲུལ་	སྒྱུ་འཕྲུལ་	PROPN
དྲྭ་བ་	དྲྭ་བ་	NON_WORD
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
ཆོས་སྲུང་	ཆོས་སྲུང་	OTHER
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
བསྐང་བཤགས་	བསྐང་བཤགས་	NO_POS
དང་	དང་	NO_POS
གཏོ་	གཏོ་	VERB
བསྔོ་	བསྔོ་	VERB
བཅའ་	བཅའ་	VERB
ཉེ་བ་		
བསྡུས་པ་	བསྡུས་པ་	VERB
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
མཆོག་སྦྱིན་	མཆོག་སྦྱིན་	NOUN
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
སྤྱི་	སྤྱི་	DET
འདུ་	འདུ་	VERB
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
དབང་	དབང་	NOUN
གི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
ཚེ་དབང་	ཚེ་དབང་	PROPN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
འཆི་མེད་	འཆི་མེད་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཆུ་རྒྱུན་	ཆུ་རྒྱུན་	NOUN
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
སྒྱུ་འཕྲུལ་	སྒྱུ་འཕྲུལ་	PROPN
དྲྭ་བ་	དྲྭ་བ་	NON_WORD
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
འདོད་རྒུ་	འདོད་རྒུ་	OTHER
འི་	གི་	PART
སྤྲིན་	སྤྲིན་	NOUN
གྱི་	གི་	PART
ཏིང་འཛིན་	ཏིང་འཛིན་	NOUN
།		PUNCT
འཕགས་མ་	འཕགས་མ་	OTHER
ནོར་	ནོར་	NOUN
རྒྱུན་	རྒྱུན་	NOUN
ཡབ་ཡུམ་	ཡབ་ཡུམ་	NOUN
གྱི་	གི་	PART
རྒྱུན་	རྒྱུན་	NOUN
ཁྱེ་	ཁྱེ་	VERB
སྙིང་པོ་	སྙིང་པོ་	NOUN
དྲིལ་བ་	དྲིལ་བ་	VERB
ལྡེབ་	ལྡེབ་	NO_POS
།		PUNCT
པདྨ་	པདྨ་	NOUN
འོད་གསལ་	འོད་གསལ་	NOUN
མདོ་སྔགས་	མདོ་སྔགས་	NOUN
གླིང་པ་	གླིང་པ་	NOUN
འི་	གི་	PART
ཟབ་	ཟབ་	VERB
གཏེར་	གཏེར་	NOUN
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
སྒྱུ་འཕྲུལ་	སྒྱུ་འཕྲུལ་	PROPN
དྲྭ་བ་	དྲྭ་བ་	NON_WORD
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
བཅོམ་ལྡན་འདས་	བཅོམ་ལྡན་འདས་	NOUN
མ་	མ་	PART
ནོར་	ནོར་	NOUN
རྒྱུན་	རྒྱུན་	NOUN
ཡབ་ཡུམ་	ཡབ་ཡུམ་	NOUN
གྱི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
འདོད་རྒུ་	འདོད་རྒུ་	OTHER
འི་	གི་	PART
སྤྲིན་	སྤྲིན་	NOUN
གྱི་	གི་	PART
ཏིང་འཛིན་	ཏིང་འཛིན་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
དང་	དང་	NO_POS
འབྲེལ་བ་	འབྲེལ་བ་	VERB
འི་	གི་	PART
ཕྲིན་	ཕྲིན་	NOUN
དབང་	དབང་	NOUN
ལས་ཚོགས་	ལས་ཚོགས་	NOUN
ཀྱི་	གི་	PART
གསལ་བྱེད་	གསལ་བྱེད་	NOUN
ཟུར་	ཟུར་	NOUN
རྒྱན་	རྒྱན་	NOUN
ནོར་བུ་	ནོར་བུ་	NOUN
རྨད་	རྨད་	VERB
དུ་	ལ་	PART
བྱུང་བ་	བྱུང་བ་	VERB
འི་	གི་	PART
ཆར་རྒྱུན་	ཆར་རྒྱུན་	OTHER
།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
ནི་	ནི་	NO_POS
གཏེར་སྟོན་	གཏེར་སྟོན་	OTHER
གོང་མ་	གོང་མ་	ADJ
དག་	དག་	DET
གིས་	གིས་	PART
གཏེར་	གཏེར་	NOUN
ན་	ནས་	PART
གཏོན་		NON_WORD
ཀྱང་	ཀྱང་	PART
འགྲོ་དོན་	འགྲོ་དོན་	NOUN
མ་བྱུང་བ་	མ་བྱུང་བ་	NO_POS
ས་	གིས་	PART
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
དུ་	ལ་	PART
སྦས་པ་	སྦས་པ་	VERB
འམ་	གམ་	PART
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
ཆོས་སྲུང་	ཆོས་སྲུང་	OTHER
གིས་	གིས་	PART
བདག་	བདག་	PRON
གིར་		NON_WORD
མཛད་པ་	མཛད་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
རྗེ་	རྗེ་	NO_POS
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
ས་	གིས་	PART
སླ་	སླ་	ADV
སྣང་བ་	སྣང་བ་	VERB
ར་	ལ་	PART
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
སྐོར་	སྐོར་	NOUN
ཏེ་	སྟེ་	PART
།		PUNCT
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
ན་	ལ་	PART
གཏེར་སྟོན་	གཏེར་སྟོན་	OTHER
སྟོང་	སྟོང་	NUM
རྩ་	རྩ་	NUM
ལྷག་	ལྷག་	NOUN
གི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
དང་	དང་	NO_POS
གཏེར་ཆོས་	གཏེར་ཆོས་	OTHER
ཚང་མ་	ཚང་མ་	OTHER
རྗེ་	རྗེ་	NO_POS
འདི་	འདི་	DET
ལ་ཉེ་	ལ་ཉེ་	NO_POS
བརྒྱུད་	བརྒྱུད་	NO_POS
དུ་	ལ་	PART
ཐོབ་པ་	ཐོབ་པ་	VERB
ཡིན་མོད་	ཡིན་མོད་	NO_POS
།		PUNCT
འདི་	འདི་	DET
ར་	ལ་	PART
ནི་	ནི་	NO_POS
དབང་ལུང་	དབང་ལུང་	NO_POS
ཁྲིད་	ཁྲིད་	VERB
ཀྱི་	གི་	PART
རྒྱུན་	རྒྱུན་	NOUN
དཔེ་ཆ་	དཔེ་ཆ་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
དབྱིངས་	དབྱིངས་	NOUN
སུ་	ལ་	PART
མནལ་	མནལ་	NOUN
ཟིན་པ་	ཟིན་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
སླར་ཡང་	སླར་ཡང་	OTHER
གཏེར་	གཏེར་	NOUN
དུ་	ལ་	PART
བཞེས་པ་	བཞེས་པ་	VERB
རྣམས་	རྣམས་	DET
གཙོ་བོ་	གཙོ་བོ་	ADJ
ར་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
ལ་	ལ་	PART
།		PUNCT
གཏེར་སྟོན་	གཏེར་སྟོན་	OTHER
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
དྲིལ་སྒྲུབ་	དྲིལ་སྒྲུབ་	OTHER
ཀྱི་	གི་	PART
སྐོར་	སྐོར་	NOUN
ལ་	ལ་	PART
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
ཆོས་སྲུང་	ཆོས་སྲུང་	OTHER
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་པ་	འདེབས་པ་	VERB
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
སྤྲིན་ཕུང་	སྤྲིན་ཕུང་	NOUN
།		PUNCT
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
སྤྱི་	སྤྱི་	DET
ཡི་	གི་	PART
ས་ཆོག་	ས་ཆོག་	NOUN
མདོར་བསྡུས་	མདོར་བསྡུས་	OTHER
།		PUNCT
བྱིན་	བྱིན་	VERB
འབེབས་	འབེབས་	VERB
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
འི་	གི་	PART
ལྕགས་ཀྱུ་	ལྕགས་ཀྱུ་	NOUN
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
དྲིལ་སྒྲུབ་	དྲིལ་སྒྲུབ་	OTHER
ཀྱི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
སྙིང་	སྙིང་	NOUN
གི་	གི་	PART
ནོར་བུ་	ནོར་བུ་	NOUN
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ར་	ལ་	PART
སྨན་	སྨན་	NOUN
མཆོད་འབུལ་བ་	མཆོད་འབུལ་བ་	NOUN
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
སྤྲིན་ཕུང་	སྤྲིན་ཕུང་	NOUN
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
གཏོ་	གཏོ་	VERB
བསྔོ་	བསྔོ་	VERB
ཉུང་	ཉུང་	VERB
བསྡུ་	བསྡུ་	VERB
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
ནོར་བུ་	ནོར་བུ་	NOUN
འི་	གི་	PART
རོལ་མཚོ་	རོལ་མཚོ་	OTHER
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
ཚོགས་	ཚོགས་	NOUN
བསྡུ་	བསྡུ་	VERB
།		PUNCT
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
པདྨ་	པདྨ་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་པ་	འདེབས་པ་	VERB
བསམ་དོན་	བསམ་དོན་	OTHER
མྱུར་	མྱུར་	VERB
འགྲུབ་	འགྲུབ་	VERB
།		PUNCT
ཚོགས་	ཚོགས་	NOUN
གླུ་	གླུ་	NOUN
ཌཱ་ཀི་	ཌཱ་ཀི་	NOUN
དགྱེས་	དགྱེས་	NO_POS
རོལ་	རོལ་	VERB
།		PUNCT
ཉམས་	ཉམས་	NOUN
ཆགས་	ཆགས་	VERB
སྡིག་སྒྲིབ་	སྡིག་སྒྲིབ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
བཤགས་པ་	བཤགས་པ་	VERB
འི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ན་རཀ་	ན་རཀ་	NO_POS
དོང་	དོང་	VERB
སྤྲུགས་	སྤྲུགས་	VERB
།		PUNCT
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
རྒྱ་མདུད་	རྒྱ་མདུད་	OTHER
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
དྲིལ་	དྲིལ་	VERB
བསྒྲུབ་	བསྒྲུབ་	VERB
ཀྱི་	གི་	PART
བསྙེན་	བསྙེན་	VERB
ཡིག་	ཡིག་	NOUN
ཉུང་	ཉུང་	VERB
གསལ་	གསལ་	VERB
སྙིང་པོ་	སྙིང་པོ་	NOUN
ར་	ལ་	PART
དྲིལ་བ་	དྲིལ་བ་	VERB
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
དྲིལ་སྒྲུབ་	དྲིལ་སྒྲུབ་	OTHER
ཀྱི་	གི་	PART
དོན་	དོན་	NOUN
དབང་	དབང་	NOUN
གི་	གི་	PART
མཚམས་	མཚམས་	NOUN
སྦྱོར་	སྦྱོར་	VERB
ཉུང་ངུ་	ཉུང་ངུ་	ADJ
ར་	ལ་	PART
བསྡུས་པ་	བསྡུས་པ་	VERB
སྨིན་	སྨིན་	VERB
བྱེད་	བྱེད་	VERB
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
ནོར་བུ་	ནོར་བུ་	NOUN
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
དྲིལ་སྒྲུབ་	དྲིལ་སྒྲུབ་	OTHER
ཀྱི་	གི་	PART
ཚེ་དབང་	ཚེ་དབང་	PROPN
སྙིང་པོ་	སྙིང་པོ་	NOUN
ར་	ལ་	PART
དྲིལ་བ་	དྲིལ་བ་	VERB
འཆི་མེད་	འཆི་མེད་	NOUN
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
ནོར་བུ་	ནོར་བུ་	NOUN
ལྡེབ་	ལྡེབ་	NO_POS
།		PUNCT
མཐའ་རྟེན་	མཐའ་རྟེན་	NO_POS
བཀྲ་ཤིས་	བཀྲ་ཤིས་	NOUN
རྟགས་	རྟགས་	NOUN
རྫ་	རྫ་	NOUN
དང་	དང་	NO_POS
རྒྱལ་སྲིད་	རྒྱལ་སྲིད་	NOUN
སྣ་	སྣ་	NOUN
བདུན་	བདུན་	NUM
སྦྱིན་པ་	སྦྱིན་པ་	VERB
འི་	གི་	PART
ཚིག་	ཚིག་	NOUN
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
དྲིལ་སྒྲུབ་	དྲིལ་སྒྲུབ་	OTHER
ཀྱི་	གི་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
བཞི་	བཞི་	NUM
འི་	གི་	PART
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
གྲུབ་	གྲུབ་	VERB
གཉིས་	གཉིས་	NUM
དཔལ་	དཔལ་	OTHER
སྟེར་	སྟེར་	VERB
།		PUNCT
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
དྲིལ་སྒྲུབ་	དྲིལ་སྒྲུབ་	OTHER
དང་	དང་	NO_POS
རྗེས་འབྲེལ་	རྗེས་འབྲེལ་	NO_POS
གཤིན་པོ་	གཤིན་པོ་	ADJ
ར་	ལ་	PART
ཕན་	ཕན་	NOUN
གདགས་པ་	གདགས་པ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
འི་	གི་	PART
མཆིལ་	མཆིལ་	NO_POS
རྣོན་	རྣོན་	NO_POS
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
ཞི་	ཞི་	VERB
ཁྲོ་	ཁྲོ་	VERB
སྤྱི་	སྤྱི་	DET
འི་	གི་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
ཁོག་	ཁོག་	VERB
དབུབ་	དབུབ་	NO_POS
ཁྱེ་	ཁྱེ་	VERB
བདེ་	བདེ་	VERB
ར་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
གཅིག་	གཅིག་	NUM
ཤེ་	ཤེ་	VERB
ཀུན་	ཀུན་	DET
གྲོལ་	གྲོལ་	VERB
།		PUNCT
བདུད་རྩི་	བདུད་རྩི་	NOUN
སྨན་	སྨན་	NOUN
གྱི་	གི་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
མདོར་བསྡུས་	མདོར་བསྡུས་	OTHER
སུ་	ལ་	PART
བྱ་	བྱ་	VERB
ཚུལ་	ཚུལ་	NOUN
འཆི་མེད་	འཆི་མེད་	NOUN
རྟག་པ་	རྟག་པ་	VERB
འི་	གི་	PART
བཅུད་ལེན་	བཅུད་ལེན་	NOUN
།		PUNCT
རྟེན་	རྟེན་	NOUN
གསུམ་	གསུམ་	NUM
རབ་ཏུ་	རབ་ཏུ་	NO_POS
གནས་པ་	གནས་པ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
ར་	ལ་	PART
དྲིལ་བ་	དྲིལ་བ་	VERB
དགེ་ལེགས་	དགེ་ལེགས་	OTHER
ཆ་	ཆ་	NOUN
ར་	ལ་	PART
འབེབས་	འབེབས་	VERB
།		PUNCT
མཐའ་རྟེན་	མཐའ་རྟེན་	NO_POS
བཀྲ་ཤིས་	བཀྲ་ཤིས་	NOUN
རྫ་	རྫ་	NOUN
བརྒྱད་	བརྒྱད་	NUM
དང་	དང་	NO_POS
སྣ་	སྣ་	NOUN
བདུན་	བདུན་	NUM
འབུལ་	འབུལ་	NO_POS
ཚིག་	ཚིག་	NOUN
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
དྲིལ་སྒྲུབ་	དྲིལ་སྒྲུབ་	OTHER
ཞལ་ཐང་	ཞལ་ཐང་	OTHER
འབྲིང་པོ་	འབྲིང་པོ་	ADJ
འི་	གི་	PART
བཀོད་	བཀོད་	VERB
ཡིག་	ཡིག་	NOUN
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
དྲིལ་སྒྲུབ་	དྲིལ་སྒྲུབ་	OTHER
ཀྱི་	གི་	PART
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
འི་	གི་	PART
འོད་ཟེར་	འོད་ཟེར་	NOUN
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
དྲིལ་སྒྲུབ་	དྲིལ་སྒྲུབ་	OTHER
ཀྱི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
དམིགས་	དམིགས་	VERB
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
།		PUNCT
ཉི་མ་	ཉི་མ་	NOUN
སེང་གེ་	སེང་གེ་	NOUN
འི་	གི་	PART
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
བླ་	བླ་	NOUN
རྫོགས་	རྫོགས་	VERB
ཐུགས་	ཐུགས་	NOUN
གསུམ་	གསུམ་	NUM
འདུས་པ་	འདུས་པ་	VERB
འི་	གི་	PART
ཟབ་	ཟབ་	VERB
དོན་	དོན་	NOUN
ཀུན་	ཀུན་	DET
འདྲིལ་	འདྲིལ་	NO_POS
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
མཐོང་བ་	མཐོང་བ་	VERB
རང་གྲོལ་	རང་གྲོལ་	NOUN
།		PUNCT
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆེན་	ཆེན་	NO_POS
པད་	པད་	NO_POS
རྒྱལ་བརྒྱུད་	རྒྱལ་བརྒྱུད་	OTHER
འདེབས་	འདེབས་	VERB
།		PUNCT
བླ་	བླ་	NOUN
རྫོགས་	རྫོགས་	VERB
ཐུགས་	ཐུགས་	NOUN
གསུམ་	གསུམ་	NUM
འདུས་པ་	འདུས་པ་	VERB
འི་	གི་	PART
ཟབ་	ཟབ་	VERB
དོན་	དོན་	NOUN
ཀུན་	ཀུན་	DET
འདྲིལ་	འདྲིལ་	NO_POS
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
མཐོང་བ་	མཐོང་བ་	VERB
རང་གྲོལ་	རང་གྲོལ་	NOUN
གྱི་	གི་	PART
ལས་བྱང་	ལས་བྱང་	OTHER
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྣང་བ་	སྣང་བ་	VERB
།		PUNCT
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
པདྨ་	པདྨ་	NOUN
ཞི་	ཞི་	VERB
ཁྲོ་	ཁྲོ་	VERB
འི་	གི་	PART
རྒྱུན་	རྒྱུན་	NOUN
གྱི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
པདྨ་	པདྨ་	NOUN
སྣང་བ་	སྣང་བ་	VERB
འི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
།		PUNCT
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
པདྨ་	པདྨ་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
དབང་	དབང་	NOUN
བསྐུར་	བསྐུར་	NO_POS
གྱི་	གི་	PART
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
མཐོང་གསལ་	མཐོང་གསལ་	OTHER
སྒྲོན་མེ་	སྒྲོན་མེ་	NOUN
།		PUNCT
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
