form	lemma	POS	morph
ཇ་	ཇ་	OTHER
རང་གྲོལ་	རང་གྲོལ་	NOUN
།		PUNCT
རྒྱ་	རྒྱ་	NOUN
སྟོན་	སྟོན་	VERB
པདྨ་	པདྨ་	NOUN
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
གི་	གི་	PART
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
།		PUNCT
ཟབ་མོ་	ཟབ་མོ་	ADJ
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
རིམ་གཉིས་	རིམ་གཉིས་	OTHER
སྙིང་པོ་	སྙིང་པོ་	NOUN
བསྡུས་པ་	བསྡུས་པ་	VERB
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
མཐོང་	མཐོང་	VERB
གྲོལ་	གྲོལ་	VERB
།		PUNCT
ཟབ་མོ་	ཟབ་མོ་	ADJ
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
འི་	གི་	PART
ངག་འདོན་	ངག་འདོན་	OTHER
ཟུང་འཇུག་	ཟུང་འཇུག་	NOUN
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
སྲོལ་འབྱེད་	སྲོལ་འབྱེད་	NOUN
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
།		PUNCT
ཟབ་མོ་	ཟབ་མོ་	ADJ
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
ལས་བྱང་	ལས་བྱང་	OTHER
ཁོལ་	ཁོལ་	OTHER
དུ་	ལ་	PART
ཕྱུང་བ་	ཕྱུང་བ་	VERB
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
མཐོང་	མཐོང་	VERB
གྲོལ་	གྲོལ་	VERB
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
ལས་བྱང་	ལས་བྱང་	OTHER
གི་	གི་	PART
མཛེ་	མཛེ་	VERB
རྒྱན་	རྒྱན་	NOUN
ནོར་བུ་	ནོར་བུ་	NOUN
འི་	གི་	PART
མེ་ཏོག་	མེ་ཏོག་	NOUN
སྤེལ་བ་	སྤེལ་བ་	VERB
འི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
ཕྲེང་	ཕྲེང་	OTHER
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
འི་	གི་	PART
ལྷན་ཐབས་	ལྷན་ཐབས་	OTHER
།		PUNCT
ཕྱག་	ཕྱག་	NOUN
བཞི་པ་	བཞི་པ་	ADJ
འི་	གི་	PART
གསོལ་མཆོད་	གསོལ་མཆོད་	OTHER
མདོར་བསྡུས་	མདོར་བསྡུས་	OTHER
།		PUNCT
མ་	མ་	PART
གཅིག་	གཅིག་	NUM
དུད་	དུད་	NO_POS
སོལ་	སོལ་	VERB
ལྷ་མོ་	ལྷ་མོ་	NOUN
འི་	གི་	PART
གཏོ་	གཏོ་	VERB
ཆོག་	ཆོག་	VERB
མདོར་བསྡུས་	མདོར་བསྡུས་	OTHER
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
ཡོངས་འདུ་	ཡོངས་འདུ་	OTHER
ས་	གིས་	PART
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
སྔགས་	སྔགས་	NOUN
དོན་	དོན་	NOUN
།		PUNCT
གཏོར་མ་	གཏོར་མ་	NOUN
འི་	གི་	PART
བཅའ་	བཅའ་	VERB
ཐབས་	ཐབས་	NOUN
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
བདག་འཇུག་	བདག་འཇུག་	OTHER
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྣང་བ་	སྣང་བ་	VERB
མྱུར་	མྱུར་	VERB
འདྲེན་	འདྲེན་	NO_POS
།		PUNCT
ཟབ་མོ་	ཟབ་མོ་	ADJ
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
སྨིན་	སྨིན་	VERB
བྱེད་	བྱེད་	VERB
ཀྱི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
གཟུང་འཛིན་	གཟུང་འཛིན་	NOUN
རང་གྲོལ་	རང་གྲོལ་	NOUN
།		PUNCT
ཟབ་མོ་	ཟབ་མོ་	ADJ
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
གཉིས་	གཉིས་	NUM
ཀྱི་	གི་	PART
ཁྲིད་ཡིག་	ཁྲིད་ཡིག་	NOUN
དག་	དག་	DET
ཅིང་	ཅིང་	PART
གསལ་བ་	གསལ་བ་	VERB
ཟུང་འཇུག་	ཟུང་འཇུག་	NOUN
མྱུར་ལམ་	མྱུར་ལམ་	OTHER
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
སྒྲུབ་	སྒྲུབ་	VERB
ཁོག་	ཁོག་	VERB
གྲུབ་	གྲུབ་	VERB
གཉིས་	གཉིས་	NUM
མཛོད་	མཛོད་	NOUN
བརྒྱ་	བརྒྱ་	NUM
འི་	གི་	PART
ལྡེའུ་མིག་	ལྡེའུ་མིག་	OTHER
བླ་མ་	བླ་མ་	NOUN
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
སྦྱོར་	སྦྱོར་	VERB
བདུད་རྩི་	བདུད་རྩི་	NOUN
སྨན་	སྨན་	NOUN
གྱི་	གི་	PART
ལག་ལེན་	ལག་ལེན་	NOUN
འདུ་	འདུ་	VERB
གསལ་	གསལ་	VERB
དུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
བདེ་བ་	བདེ་བ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
མྱུར་ལམ་	མྱུར་ལམ་	OTHER
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
ལྷན་སྐྱེས་	ལྷན་སྐྱེས་	ADJ
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
དཔལ་	དཔལ་	OTHER
བསྐྱེད་	བསྐྱེད་	VERB
།		PUNCT
ལྷ་བཙུན་	ལྷ་བཙུན་	OTHER
སྔོན་མོ་	སྔོན་མོ་	OTHER
འམ་	གམ་	PART
ལྷ་དབང་	ལྷ་དབང་	OTHER
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
བློ་གྲོས་	བློ་གྲོས་	NOUN
ཀྱི་	གི་	PART
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
།		PUNCT
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
བདུན་	བདུན་	NUM
གྱི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
བུམ་པ་	བུམ་པ་	NOUN
།		PUNCT
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
ལྷ་མོ་	ལྷ་མོ་	NOUN
བདུན་	བདུན་	NUM
གྱི་	གི་	PART
བརྒྱུད་	བརྒྱུད་	NO_POS
འདེབས་	འདེབས་	VERB
།		PUNCT
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
ལྷ་མོ་	ལྷ་མོ་	NOUN
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
སྤྱན་མ་	སྤྱན་མ་	NO_POS
འི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
འབྱུང་འཁྲུགས་	འབྱུང་འཁྲུགས་	OTHER
ནད་	ནད་	NOUN
ཀུན་	ཀུན་	DET
སེལ་བ་	སེལ་བ་	VERB
འི་	གི་	PART
སྨན་མཆོག་	སྨན་མཆོག་	OTHER
།		PUNCT
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
ལྷ་མོ་	ལྷ་མོ་	NOUN
རི་ཁྲོད་	རི་ཁྲོད་	NOUN
མ་	མ་	PART
འི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
གཉན་རིམས་	གཉན་རིམས་	OTHER
ཀུན་འཇོམས་	ཀུན་འཇོམས་	OTHER
།		PUNCT
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
ལྷ་མོ་	ལྷ་མོ་	NOUN
འོད་ཟེར་	འོད་ཟེར་	NOUN
ཅན་	ཅན་	PART
མ་	མ་	PART
འི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
གདོན་བགེགས་	གདོན་བགེགས་	NO_POS
ཆོམ་རྐུན་	ཆོམ་རྐུན་	NOUN
གྱི་	གི་	PART
གཤེད་མ་	གཤེད་མ་	NOUN
།		PUNCT
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
ལྷ་མོ་	ལྷ་མོ་	NOUN
གདུགས་དཀར་	གདུགས་དཀར་	NO_POS
མོ་	མོ་	PRON
འི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
བྱད་ཕུར་	བྱད་ཕུར་	NO_POS
གཞོམ་པ་	གཞོམ་པ་	VERB
འི་	གི་	PART
མེ་ལྕེ་	མེ་ལྕེ་	OTHER
།		PUNCT
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
ལྷ་མོ་	ལྷ་མོ་	NOUN
ཤེར་ཕྱིན་	ཤེར་ཕྱིན་	PROPN
དཀར་མོ་	དཀར་མོ་	ADJ
འི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
མུན་པ་	མུན་པ་	NOUN
སེལ་བ་	སེལ་བ་	VERB
འི་	གི་	PART
འོད་ཟེར་	འོད་ཟེར་	NOUN
།		PUNCT
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
ལྷ་མོ་	ལྷ་མོ་	NOUN
སྒྲོལ་མ་	སྒྲོལ་མ་	PROPN
དཀར་མོ་	དཀར་མོ་	ADJ
འི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
འཇིགས་	འཇིགས་	VERB
བརྒྱད་	བརྒྱད་	NUM
སྒྲོལ་བ་	སྒྲོལ་བ་	VERB
འི་	གི་	PART
གྲུ་	གྲུ་	NOUN
ཆེན་	ཆེན་	NO_POS
།		PUNCT
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
ལྷ་མོ་	ལྷ་མོ་	NOUN
རྨ་བྱ་ཆེན་མོ་	རྨ་བྱ་ཆེན་མོ་	NO_POS
འི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
དུས་	དུས་	NOUN
མིན་	མིན་	AUX
འཆི་བ་	འཆི་བ་	VERB
འཇོམས་པ་	འཇོམས་པ་	VERB
འི་	གི་	PART
བདུད་རྩི་	བདུད་རྩི་	NOUN
།		PUNCT
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
ལྷ་མོ་	ལྷ་མོ་	NOUN
བདུན་	བདུན་	NUM
གྱི་	གི་	PART
དབང་	དབང་	NOUN
བསྐུར་བ་	བསྐུར་བ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
འི་	གི་	PART
གསལ་བྱེད་	གསལ་བྱེད་	NOUN
ཡིད་འོང་	ཡིད་འོང་	ADJ
ཟླ་བ་	ཟླ་བ་	NOUN
འི་	གི་	PART
བདུད་རྩི་	བདུད་རྩི་	NOUN
ནག་འགྲོས་	ནག་འགྲོས་	OTHER
སུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
།		PUNCT
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
སྐོར་	སྐོར་	NOUN
བདུན་	བདུན་	NUM
ཀྱི་	གི་	PART
ལས་ཚོགས་	ལས་ཚོགས་	NOUN
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
།		PUNCT
བྱབས་ཁྲུས་	བྱབས་ཁྲུས་	NO_POS
།		PUNCT
བྱད་	བྱད་	NO_POS
དཀྲོལ་		NON_WORD
།		PUNCT
འཆི་	འཆི་	VERB
བསླུ་	བསླུ་	NO_POS
རྣམས་	རྣམས་	DET
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
མུ་ཏིག་	མུ་ཏིག་	NOUN
ཆུན་པོ་	ཆུན་པོ་	OTHER
།		PUNCT
