form	lemma	POS	morph
ད་	ད་	ADV
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
རྒྱུན་	རྒྱུན་	NOUN
གྱི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
གཅིག་པ་	གཅིག་པ་	ADJ
།		PUNCT
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
གི་	གི་	PART
སྨན་	སྨན་	NOUN
མཆོད་	མཆོད་	VERB
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
གི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
གྲངས་	གྲངས་	NOUN
བསོགས་	བསོགས་	NO_POS
།		PUNCT
སྒྲོལ་	སྒྲོལ་	VERB
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
མཆོད་	མཆོད་	VERB
ཕྲེང་	ཕྲེང་	OTHER
ཅུང་ཟད་	ཅུང་ཟད་	ADV
རྒྱས་པ་	རྒྱས་པ་	VERB
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
གི་	གི་	PART
སྐོང་བ་	སྐོང་བ་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
ཕྲེང་	ཕྲེང་	OTHER
མཛེ་	མཛེ་	VERB
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
སྨིན་	སྨིན་	VERB
བྱེད་	བྱེད་	VERB
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
དབང་	དབང་	NOUN
ཆོག་	ཆོག་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཐིག་ལེ་	ཐིག་ལེ་	NOUN
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
ཐུན་མོང་	ཐུན་མོང་	ADJ
ཚེ་	ཚེ་	NOUN
ཡི་	གི་	PART
རྗེས་གནང་	རྗེས་གནང་	NOUN
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
ཡང་	ཀྱང་	PART
ཟབ་	ཟབ་	VERB
ཚེ་	ཚེ་	NOUN
ཡི་	གི་	PART
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
།		PUNCT
ཚེ་འགུགས་	ཚེ་འགུགས་	OTHER
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
གི་	གི་	PART
བདག་འཇུག་	བདག་འཇུག་	OTHER
ངག་འདོན་	ངག་འདོན་	OTHER
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
དྭངས་	དྭངས་	NO_POS
བཅུད་	བཅུད་	NOUN
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
སྨིན་	སྨིན་	VERB
བྱེད་	བྱེད་	VERB
བཀླག་	བཀླག་	VERB
ཆོག་	ཆོག་	VERB
ཏུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
ཆུ་རྒྱུན་	ཆུ་རྒྱུན་	NOUN
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
ཐུན་མོང་	ཐུན་མོང་	ADJ
ཚེ་	ཚེ་	NOUN
འི་	གི་	PART
རྗེས་གནང་	རྗེས་གནང་	NOUN
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
ཡང་	ཀྱང་	PART
ཟབ་	ཟབ་	VERB
ཚེའྀ་		NON_WORD
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
ཀྱི་	གི་	PART
ཕྱག་ལེན་	ཕྱག་ལེན་	NOUN
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཐིག་ལེ་	ཐིག་ལེ་	NOUN
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
གི་	གི་	PART
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
ཆོ་ག་	ཆོ་ག་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
རབ་ཏུ་	རབ་ཏུ་	NO_POS
རྒྱས་པ་	རྒྱས་པ་	VERB
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
གི་	གི་	PART
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
ལེན་པ་	ལེན་པ་	VERB
འི་	གི་	PART
བཟླས་	བཟླས་	NO_POS
དམིགས་	དམིགས་	VERB
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
གི་	གི་	PART
རྒྱུན་	རྒྱུན་	NOUN
གྱི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
གཅིག་པ་	གཅིག་པ་	ADJ
དང་	དང་	NO_POS
འབྲེལ་བ་	འབྲེལ་བ་	VERB
འི་	གི་	PART
བསྐྱེད་རྫོགས་	བསྐྱེད་རྫོགས་	NOUN
ཀྱི་	གི་	PART
ཁྲིད་	ཁྲིད་	VERB
མདོར་བསྡུས་	མདོར་བསྡུས་	OTHER
འཆི་མེད་	འཆི་མེད་	NOUN
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
ཟིལ་དངར་	ཟིལ་དངར་	OTHER
།		PUNCT
དགོངས་གཏེར་	དགོངས་གཏེར་	OTHER
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
གི་	གི་	PART
བསྙེན་སྒྲུབ་	བསྙེན་སྒྲུབ་	NOUN
ཇི་ལྟ་		
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
ཟླ་ཟེར་	ཟླ་ཟེར་	OTHER
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
ཐིག་ལེ་	ཐིག་ལེ་	NOUN
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
གི་	གི་	PART
བསྙེན་སྒྲུབ་	བསྙེན་སྒྲུབ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
བརྩམས་པ་	བརྩམས་པ་	VERB
འི་	གི་	PART
དྲིས་ལན་	དྲིས་ལན་	NOUN
ཅུང་ཟད་	ཅུང་ཟད་	ADV
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
གི་	གི་	PART
བསྙེན་སྒྲུབ་	བསྙེན་སྒྲུབ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
བཟླས་	བཟླས་	NO_POS
དམིགས་	དམིགས་	VERB
།		PUNCT
ཡོངས་རྫོགས་	ཡོངས་རྫོགས་	OTHER
འཆི་མེད་	འཆི་མེད་	NOUN
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
དང་	དང་	NO_POS
།		PUNCT
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
གི་	གི་	PART
གཏོར་མ་	གཏོར་མ་	NOUN
འི་	གི་	PART
པྲ་	པྲ་	NOUN
ཁྲིད་	ཁྲིད་	VERB
འཆི་མེད་	འཆི་མེད་	NOUN
འདོད་པ་	འདོད་པ་	VERB
འཇོ་བ་	འཇོ་བ་	OTHER
འི་	གི་	PART
དགའ་སྟོན་	དགའ་སྟོན་	NOUN
།		PUNCT
དགོངས་གཏེར་	དགོངས་གཏེར་	OTHER
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
གི་	གི་	PART
སྒྲུབ་	སྒྲུབ་	VERB
ཁོག་	ཁོག་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
གཏེར་མཛོད་	གཏེར་མཛོད་	NOUN
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
གི་	གི་	PART
ཆ་ལག་	ཆ་ལག་	NOUN
རྣམ་རྒྱལ་	རྣམ་རྒྱལ་	NOUN
མ་རིག་	མ་རིག་	NOUN
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
སྟོང་མཆོད་	སྟོང་མཆོད་	OTHER
ཀྱི་	གི་	PART
བརྒྱུད་	བརྒྱུད་	NO_POS
འདེབས་	འདེབས་	VERB
འཆི་མེད་	འཆི་མེད་	NOUN
རྟག་པ་	རྟག་པ་	VERB
འི་	གི་	PART
དབྱངས་སྙན་	དབྱངས་སྙན་	OTHER
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
གི་	གི་	PART
ཆ་ལག་	ཆ་ལག་	NOUN
གཙུག་ཏོར་	གཙུག་ཏོར་	PROPN
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
རྒྱལ་མ་	རྒྱལ་མ་	OTHER
འི་	གི་	PART
གཟུངས་	གཟུངས་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
དང་	དང་	NO_POS
མཆོད་པ་	མཆོད་པ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
བལྟ་	བལྟ་	VERB
གསལ་	གསལ་	VERB
དུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
དྲི་མེད་	དྲི་མེད་	ADJ
ནོར་བུ་	ནོར་བུ་	NOUN
།		PUNCT
ཚེ་	ཚེ་	NOUN
ལྷ་	ལྷ་	NOUN
རྣམ་	རྣམ་	NOUN
གསུམ་	གསུམ་	NUM
ལ་	ལ་	PART
བརྟེན་པ་	བརྟེན་པ་	VERB
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
འཆི་མེད་	འཆི་མེད་	NOUN
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
གསེང་ལམ་	གསེང་ལམ་	OTHER
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
ཚེ་	ཚེ་	NOUN
ལྷ་	ལྷ་	NOUN
རྣམ་	རྣམ་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
དང་	དང་	NO_POS
རྗེས་སུ་	རྗེས་སུ་	OTHER
འབྲེལ་བ་	འབྲེལ་བ་	VERB
ར་	ལ་	PART
ཚོགས་	ཚོགས་	NOUN
གཉིས་	གཉིས་	NUM
སྤེལ་བ་	སྤེལ་བ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
འཆི་མེད་	འཆི་མེད་	NOUN
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
དགའ་སྟོན་	དགའ་སྟོན་	NOUN
།		PUNCT
མཎྜལ་		NON_WORD
རྒྱས་པ་	རྒྱས་པ་	VERB
ཚོམ་བུ་	ཚོམ་བུ་	OTHER
སོ་	གོ་	PART
བདུན་	བདུན་	NUM
མ་	མ་	PART
།		PUNCT
འཕགས་མ་	འཕགས་མ་	OTHER
སྒྲོལ་མ་	སྒྲོལ་མ་	PROPN
ལ་རྩ་	ལ་རྩ་	NO_POS
སྔགས་	སྔགས་	NOUN
དང་	དང་	NO_POS
སྦྱར་བ་	སྦྱར་བ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་པ་	འདེབས་པ་	VERB
དོན་	དོན་	NOUN
ཀུན་གྲུབ་པ་	ཀུན་གྲུབ་པ་	OTHER
འི་	གི་	PART
དབྱངས་སྙན་	དབྱངས་སྙན་	OTHER
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
ཚེ་	ཚེ་	NOUN
ལྷ་	ལྷ་	NOUN
རྣམ་	རྣམ་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
།		PUNCT
བཅོམ་ལྡན་འདས་	བཅོམ་ལྡན་འདས་	NOUN
མགོན་པོ་	མགོན་པོ་	NOUN
ཚེ་	ཚེ་	NOUN
དང་	དང་	NO_POS
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
དཔག་	དཔག་	VERB
ཏུ་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
ལ་	ལ་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
འཆི་མེད་	འཆི་མེད་	NOUN
ཟླ་	ཟླ་	NOUN
གཞོན་	གཞོན་	NOUN
གསར་པ་	གསར་པ་	VERB
འི་	གི་	PART
རོལ་མོ་	རོལ་མོ་	NOUN
།		PUNCT
འཕགས་མ་	འཕགས་མ་	OTHER
གཙུག་ཏོར་	གཙུག་ཏོར་	PROPN
རྣམ་རྒྱལ་	རྣམ་རྒྱལ་	NOUN
ལ་	ལ་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
འཆི་མེད་	འཆི་མེད་	NOUN
གྲུབ་པ་	གྲུབ་པ་	VERB
སྤྲིན་	སྤྲིན་	NOUN
གྱི་	གི་	PART
རོལ་མོ་	རོལ་མོ་	NOUN
།		PUNCT
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
སྒྲོལ་མ་	སྒྲོལ་མ་	PROPN
དཀར་མོ་	དཀར་མོ་	ADJ
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
ལ་	ལ་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
འཆི་མེད་	འཆི་མེད་	NOUN
སྤྲིན་དཀར་	སྤྲིན་དཀར་	OTHER
འཛུམ་པ་	འཛུམ་པ་	VERB
འི་	གི་	PART
རོལ་མོ་	རོལ་མོ་	NOUN
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
བླ་	བླ་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
གི་	གི་	PART
བླ་	བླ་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
བརྒྱུད་	བརྒྱུད་	NO_POS
འདེབས་	འདེབས་	VERB
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
སྣང་བ་	སྣང་བ་	VERB
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
བླ་	བླ་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
ལས་བྱང་	ལས་བྱང་	OTHER
བཀླག་	བཀླག་	VERB
ཆོག་	ཆོག་	VERB
ཏུ་	ལ་	PART
བསྡེབས་པ་	བསྡེབས་པ་	VERB
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
བཅུད་	བཅུད་	NOUN
འདྲེན་	འདྲེན་	NO_POS
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
བླ་	བླ་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
བཤགས་	བཤགས་	NO_POS
སྐོང་	སྐོང་	NO_POS
གི་	གི་	PART
ལག་ལེན་	ལག་ལེན་	NOUN
དང་	དང་	NO_POS
འདོན་	འདོན་	VERB
འགྲིག་	འགྲིག་	VERB
ས་	གིས་	PART
ཁྲིགས་	ཁྲིགས་	VERB
སུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
བླ་	བླ་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
དབང་	དབང་	NOUN
བསྐུར་	བསྐུར་	NO_POS
བལྟ་	བལྟ་	VERB
ཆོག་	ཆོག་	VERB
ཏུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
བཅུད་	བཅུད་	NOUN
འབེབས་	འབེབས་	VERB
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
བླ་	བླ་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཚེ་	ཚེ་	NOUN
འི་	གི་	PART
དབང་	དབང་	NOUN
ཟབ་མོ་	ཟབ་མོ་	ADJ
ཁོལ་	ཁོལ་	OTHER
དུ་	ལ་	PART
ཕྱུང་བ་	ཕྱུང་བ་	VERB
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
སྲོག་	སྲོག་	NOUN
འཚོ་	འཚོ་	VERB
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
བླ་	བླ་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
བྱིན་	བྱིན་	VERB
རླབ་		NON_WORD
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
སྒྲུབ་	སྒྲུབ་	VERB
ཆེན་	ཆེན་	NO_POS
གྱི་	གི་	PART
ལག་ལེན་	ལག་ལེན་	NOUN
འདུ་	འདུ་	VERB
གསལ་	གསལ་	VERB
དུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
