form	lemma	POS	morph
ཀ་	ཀ་	DET
ལ་	ལ་	PART
བསྔགས་པ་	བསྔགས་པ་	VERB
དྲང་གཏམ་	དྲང་གཏམ་	OTHER
བདེན་ཚིག་	བདེན་ཚིག་	OTHER
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
རོལ་མོ་	རོལ་མོ་	NOUN
།		PUNCT
སྨིན་	སྨིན་	VERB
གླིང་	གླིང་	NOUN
རྡོ་		
སེམས་	སེམས་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
འདེབས་	འདེབས་	VERB
།		PUNCT
རྡོ་		
སེམས་	སེམས་	NOUN
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
འི་	གི་	PART
ངག་འདོན་	ངག་འདོན་	OTHER
དང་	དང་	NO_POS
རྡོ་		
སེམས་	སེམས་	NOUN
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
བསྙེན་པ་	བསྙེན་པ་	VERB
འི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
ངག་འདོན་	ངག་འདོན་	OTHER
ཆུ་	ཆུ་	NOUN
འབབས་		NON_WORD
སུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
།		PUNCT
རྡོ་		
སེམས་	སེམས་	NOUN
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
བསྙེན་པ་	བསྙེན་པ་	VERB
གཏོང་	གཏོང་	VERB
ལུགས་	ལུགས་	NOUN
།		PUNCT
རྒྱལ་	རྒྱལ་	VERB
ཐོ་	ཐོ་	NOUN
བསྡུས་པ་	བསྡུས་པ་	VERB
།		PUNCT
དཔལ་	དཔལ་	OTHER
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
མྱོང་	མྱོང་	VERB
གྲོལ་	གྲོལ་	VERB
རིལ་བུ་	རིལ་བུ་	OTHER
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
ངག་འདོན་	ངག་འདོན་	OTHER
སྙིང་པོ་	སྙིང་པོ་	NOUN
ར་	ལ་	PART
དྲིལ་བ་	དྲིལ་བ་	VERB
གཞན་ཕན་	གཞན་ཕན་	OTHER
མཁའ་ཁྱབ་	མཁའ་ཁྱབ་	NOUN
རུས་	རུས་	NOUN
སྦྱོང་	སྦྱོང་	VERB
ཟིན་ཐོ་	ཟིན་ཐོ་	OTHER
སོགས་	སོགས་	DET
ཚན་གཅིག་	ཚན་གཅིག་	NO_POS
ཏུ་	ལ་	PART
བྱས་པ་	བྱས་པ་	VERB
།		PUNCT
དཔལ་	དཔལ་	OTHER
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
བསྙེན་སྒྲུབ་	བསྙེན་སྒྲུབ་	NOUN
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
ཀྱི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
རྣམ་གྲོལ་	རྣམ་གྲོལ་	NOUN
ལམ་བཟང་	ལམ་བཟང་	OTHER
།		PUNCT
རྡོ་		
སེམས་	སེམས་	NOUN
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
སྒྲུབ་	སྒྲུབ་	VERB
པའྀ་		NON_WORD
སློབ་མ་	སློབ་མ་	NOUN
རྗེས་འཛིན་	རྗེས་འཛིན་	NOUN
གྱི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
བཀླགས་	བཀླགས་	NO_POS
ཆོག་	ཆོག་	VERB
ཏུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
རབ་	རབ་	ADV
རྒྱ་	རྒྱ་	VERB
།		PUNCT
དཔལ་	དཔལ་	OTHER
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
དང་	དང་	NO_POS
འབྲེལ་བ་	འབྲེལ་བ་	VERB
འི་	གི་	PART
སྤྲོས་བཅས་	སྤྲོས་བཅས་	NOUN
སྒྲུབ་མཆོད་	སྒྲུབ་མཆོད་	OTHER
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
ལག་ལེན་	ལག་ལེན་	NOUN
རྣམ་གྲོལ་	རྣམ་གྲོལ་	NOUN
སྙེ་མ་	སྙེ་མ་	NOUN
།		PUNCT
ཟབ་	ཟབ་	VERB
ཆོ་	ཆོ་	NOUN
རིག་འཛིན་	རིག་འཛིན་	OTHER
ཐུགས་	ཐུགས་	NOUN
ཐིག་	ཐིག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
བྱིན་	བྱིན་	VERB
འབེབས་	འབེབས་	VERB
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
ཆ་	ཆ་	NOUN
ར་	ལ་	PART
འབེབས་	འབེབས་	VERB
།		PUNCT
སྨིན་	སྨིན་	VERB
གླིང་	གླིང་	NOUN
རྡོ་		
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
རུས་	རུས་	NOUN
སྦྱོང་	སྦྱོང་	VERB
ངག་འདོན་	ངག་འདོན་	OTHER
།		PUNCT
དཔལ་	དཔལ་	OTHER
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
འི་	གི་	PART
ཡན་ལག་	ཡན་ལག་	NOUN
སཱཙྪ་		NON_WORD
རབ་གནས་	རབ་གནས་	NOUN
དང་	དང་	NO_POS
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
ངག་འདོན་	ངག་འདོན་	OTHER
སྙིང་པོ་	སྙིང་པོ་	NOUN
ར་	ལ་	PART
དྲིལ་བ་	དྲིལ་བ་	VERB
།		PUNCT
དམ་ཅན་	དམ་ཅན་	NOUN
སྤྱི་	སྤྱི་	DET
འི་	གི་	PART
གཏོར་མ་	གཏོར་མ་	NOUN
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
ཉུང་ངུ་	ཉུང་ངུ་	ADJ
ར་	ལ་	PART
བསྡུས་པ་	བསྡུས་པ་	VERB
།		PUNCT
སྔགས་	སྔགས་	NOUN
སྲུང་མ་	སྲུང་མ་	NOUN
འི་	གི་	PART
གཏོ་	གཏོ་	VERB
འབུལ་	འབུལ་	NO_POS
ཁྱེ་	ཁྱེ་	VERB
བདེ་	བདེ་	VERB
།		PUNCT
གཏེར་སྲུང་	གཏེར་སྲུང་	NO_POS
བདུད་	བདུད་	NOUN
བཙན་	བཙན་	VERB
ཀླུ་	ཀླུ་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
གསོལ་མཆོད་	གསོལ་མཆོད་	OTHER
།		PUNCT
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
སྒྱུ་འཕྲུལ་	སྒྱུ་འཕྲུལ་	PROPN
དྲྭ་བ་	དྲྭ་བ་	NON_WORD
འི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
ལ་	ལ་	PART
བརྟེན་	བརྟེན་	VERB
ན་	ནས་	PART
སྒྲུབ་བརྒྱུད་	སྒྲུབ་བརྒྱུད་	NOUN
ཤིང་རྟ་	ཤིང་རྟ་	NOUN
བརྒྱད་	བརྒྱད་	NUM
ཀྱི་	གི་	PART
ལམ་སྲོལ་	ལམ་སྲོལ་	OTHER
འཆད་	འཆད་	VERB
ཚུལ་	ཚུལ་	NOUN
།		PUNCT
སྤོང་བ་	སྤོང་བ་	VERB
བསམ་གཏན་པ་	བསམ་གཏན་པ་	NOUN
ལ་	ལ་	PART
གདམས་པ་	གདམས་པ་	VERB
འི་	གི་	PART
གཏམ་	གཏམ་	NOUN
ལམ་རིམ་	ལམ་རིམ་	NOUN
བདུད་རྩི་	བདུད་རྩི་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
།		PUNCT
བུམ་	བུམ་	NOUN
དབང་	དབང་	NOUN
གི་	གི་	PART
ལམ་	གམ་	PART
ཁྱེ་	ཁྱེ་	VERB
དང་	དང་	NO_POS
རྗེས་སུ་	རྗེས་སུ་	OTHER
འབྲེལ་བ་	འབྲེལ་བ་	VERB
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཐོལ་	ཐོལ་	ADV
གླུ་	གླུ་	NOUN
སྣང་སྟོང་	སྣང་སྟོང་	NO_POS
ཟུང་འཇུག་	ཟུང་འཇུག་	NOUN
གསང་དབང་	གསང་དབང་	NO_POS
ལམ་	གམ་	PART
ཁྱེ་	ཁྱེ་	VERB
དང་	དང་	NO_POS
རྗེས་སུ་	རྗེས་སུ་	OTHER
འབྲེལ་བ་	འབྲེལ་བ་	VERB
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཐོལ་	ཐོལ་	ADV
གླུ་	གླུ་	NOUN
གསལ་སྟོང་	གསལ་སྟོང་	NO_POS
ཟུང་འཇུག་	ཟུང་འཇུག་	NOUN
།		PUNCT
ཤེར་དབང་	ཤེར་དབང་	NO_POS
གི་	གི་	PART
ལམ་	གམ་	PART
ཁྱེ་	ཁྱེ་	VERB
དང་	དང་	NO_POS
རྗེས་སུ་	རྗེས་སུ་	OTHER
འབྲེལ་བ་	འབྲེལ་བ་	VERB
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཐོལ་	ཐོལ་	ADV
གླུ་	གླུ་	NOUN
བདེ་སྟོང་	བདེ་སྟོང་	NOUN
ཟུང་འཇུག་	ཟུང་འཇུག་	NOUN
།		PUNCT
བཞི་པ་	བཞི་པ་	ADJ
འི་	གི་	PART
དབང་	དབང་	NOUN
དང་	དང་	NO_POS
རྗེས་སུ་	རྗེས་སུ་	OTHER
འབྲེལ་བ་	འབྲེལ་བ་	VERB
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཐོལ་	ཐོལ་	ADV
གླུ་	གླུ་	NOUN
རིག་	རིག་	VERB
སྟོང་	སྟོང་	NUM
ཟུང་འཇུག་	ཟུང་འཇུག་	NOUN
།		PUNCT
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
དང་	དང་	NO_POS
འབྲེལ་བ་	འབྲེལ་བ་	VERB
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཐོལ་	ཐོལ་	ADV
གླུ་	གླུ་	NOUN
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
གསུམ་	གསུམ་	NUM
ལྡན་	ལྡན་	VERB
།		PUNCT
རྗེས་སུ་	རྗེས་སུ་	OTHER
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
དང་	དང་	NO_POS
འབྲེལ་བ་	འབྲེལ་བ་	VERB
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཐོལ་	ཐོལ་	ADV
གླུ་	གླུ་	NOUN
བདེ་སྟོང་	བདེ་སྟོང་	NOUN
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
རླབས་ཕྲེང་	རླབས་ཕྲེང་	OTHER
།		PUNCT
ཟུང་འཇུག་	ཟུང་འཇུག་	NOUN
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཐོལ་	ཐོལ་	ADV
གླུ་	གླུ་	NOUN
བྱ་བྲལ་	བྱ་བྲལ་	PROPN
གཉུག་	གཉུག་	NO_POS
མ་	མ་	PART
འི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
།		PUNCT
དཔལ་	དཔལ་	OTHER
གསང་བ་	གསང་བ་	VERB
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
བཤད་རྒྱུན་	བཤད་རྒྱུན་	NO_POS
གྱི་	གི་	PART
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
ཤིང་རྟ་	ཤིང་རྟ་	NOUN
།		PUNCT
དཔལ་	དཔལ་	OTHER
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
ལ་	ལ་	PART
ཡང་སྙིང་	ཡང་སྙིང་	NOUN
གི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
བསྔགས་པ་	བསྔགས་པ་	VERB
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཐོལ་	ཐོལ་	ADV
གླུ་	གླུ་	NOUN
གསང་བདག་	གསང་བདག་	OTHER
བཞད་པ་	བཞད་པ་	PROPN
འི་	གི་	PART
དབྱངས་སྙན་	དབྱངས་སྙན་	OTHER
།		PUNCT
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
སྒྱུ་འཕྲུལ་	སྒྱུ་འཕྲུལ་	PROPN
དྲྭ་བ་	དྲྭ་བ་	NON_WORD
འི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཚིག་	ཚིག་	NOUN
གི་	གི་	PART
དུམ་བུ་	དུམ་བུ་	NOUN
ཞིག་	ཅིག་	PART
དོན་	དོན་	NOUN
ཅུང་ཟད་	ཅུང་ཟད་	ADV
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བཀྲལ་བ་	བཀྲལ་བ་	VERB
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
ཞལ་ལུང་	ཞལ་ལུང་	OTHER
།		PUNCT
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཐོལ་	ཐོལ་	ADV
གླུ་	གླུ་	NOUN
འོད་གསལ་	འོད་གསལ་	NOUN
སྣང་བ་	སྣང་བ་	VERB
།		PUNCT
འོད་གསལ་	འོད་གསལ་	NOUN
རང་བཞིན་	རང་བཞིན་	NOUN
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
ལམ་	གམ་	PART
གྱི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
དང་	དང་	NO_POS
འབྲེལ་བ་	འབྲེལ་བ་	VERB
ར་	ལ་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཐོལ་	ཐོལ་	ADV
གླུ་	གླུ་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
གྲུབ་པ་	གྲུབ་པ་	VERB
།		PUNCT
བློ་སྦྱོང་	བློ་སྦྱོང་	OTHER
དོན་	དོན་	NOUN
བདུན་	བདུན་	NUM
མ་	མ་	PART
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
ཡིད་	ཡིད་	NOUN
ཀྱི་	གི་	PART
བདུད་རྩི་	བདུད་རྩི་	NOUN
།		PUNCT
ཇོ་བོ་	ཇོ་བོ་	NOUN
བཀའ་	བཀའ་	NOUN
གདམས་པ་	གདམས་པ་	VERB
འི་	གི་	PART
གཞུང་	གཞུང་	NOUN
གདམས་	གདམས་	NOUN
མན་ངག་	མན་ངག་	NOUN
མཐའ་དག་	མཐའ་དག་	DET
གི་	གི་	PART
བརྗོད་བྱ་	བརྗོད་བྱ་	NOUN
མདོར་བསྡུས་པ་	མདོར་བསྡུས་པ་	OTHER
འི་	གི་	PART
གླུ་དབྱངས་	གླུ་དབྱངས་	NOUN
ཕན་བདེ་	ཕན་བདེ་	OTHER
འི་	གི་	PART
ཤིང་རྟ་	ཤིང་རྟ་	NOUN
།		PUNCT
བི་	བི་	NO_POS
ཙ་	ཙ་	NOUN
ཏུ་	ལ་	PART
རཱ་	རཱ་	NO_POS
སྤྲ་	སྤྲ་	NO_POS
ར་	ར་	ADP
སཱ་	སཱ་	NO_POS
སྶཾ་		NON_WORD
རཱ་	རཱ་	NO_POS
བཱ་	བཱ་	NO_POS
སྟི་	སྟི་	NO_POS
།		PUNCT
ཞེན་པ་	ཞེན་པ་	VERB
བཞི་	བཞི་	NUM
བྲལ་	བྲལ་	VERB
གྱི་	གི་	PART
ཉམས་	ཉམས་	NOUN
དབྱངས་	དབྱངས་	NOUN
སྙིང་	སྙིང་	NOUN
གི་	གི་	PART
བདུད་རྩི་	བདུད་རྩི་	NOUN
།		PUNCT
སྤྲོས་བྲལ་	སྤྲོས་བྲལ་	ADJ
ཤེ་	ཤེ་	VERB
ཀྱི་	གི་	PART
ཕ་རོལ་	ཕ་རོལ་	NOUN
ཏུ་	ལ་	PART
ཕྱིན་པ་	ཕྱིན་པ་	VERB
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཐོལ་	ཐོལ་	ADV
གླུ་	གླུ་	NOUN
འོད་གསལ་	འོད་གསལ་	NOUN
དབུ་མ་	དབུ་མ་	PROPN
འི་	གི་	PART
སྒྲ་དབྱངས་	སྒྲ་དབྱངས་	NOUN
།		PUNCT
ཐེག་པ་	ཐེག་པ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
ལམ་	གམ་	PART
གྱི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
འི་	གི་	PART
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
རྣམ་གྲོལ་	རྣམ་གྲོལ་	NOUN
དགའ་སྟོན་	དགའ་སྟོན་	NOUN
།		PUNCT
གཞན་སྟོང་	གཞན་སྟོང་	OTHER
དབུ་མ་	དབུ་མ་	PROPN
འི་	གི་	PART
རྣམ་	རྣམ་	NOUN
བཞག་	བཞག་	VERB
སྙིང་པོ་	སྙིང་པོ་	NOUN
ར་	ལ་	PART
དྲིལ་བ་	དྲིལ་བ་	VERB
།		PUNCT
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
བློ་བཟང་	བློ་བཟང་	PROPN
གྲགས་པ་	གྲགས་པ་	VERB
འི་	གི་	PART
ལྟ་གྲུབ་	ལྟ་གྲུབ་	OTHER
ཀྱི་	གི་	PART
བཞེད་ཚུལ་	བཞེད་ཚུལ་	VERB
མདོ་	མདོ་	NOUN
ཙམ་	ཙམ་	DET
།		PUNCT
ཚ་	ཚ་	VERB
ཆེན་	ཆེན་	NO_POS
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ལ་	ལ་	PART
ལམ་	གམ་	PART
ཟབ་	ཟབ་	VERB
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
དང་	དང་	NO_POS
འབྲེལ་བ་	འབྲེལ་བ་	VERB
ར་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་པ་	འདེབས་པ་	VERB
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
གླུ་	གླུ་	NOUN
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
ཆ་	ཆ་	NOUN
ར་	ལ་	PART
འབེབས་	འབེབས་	VERB
།		PUNCT
ན་མོ་	ན་མོ་	X
གུ་རུ་	གུ་རུ་	PROPN
ཤྲཱི་		NON_WORD
ཧེ་	ཧེ་	INTJ
བཛྲཱ་		NON_WORD
ཡ་	ཡ་	NOUN
།		PUNCT
དཔལ་	དཔལ་	OTHER
ཀྱེ་	ཀྱེ་	INTJ
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
ཉེ་	ཉེ་	NUM
མཁོ་	མཁོ་	NO_POS
འི་	གི་	PART
ཡིག་ཆ་	ཡིག་ཆ་	NOUN
ངོས་འཛིན་	ངོས་འཛིན་	NOUN
།		PUNCT
ལམ་	གམ་	PART
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
གོ་དོན་	གོ་དོན་	OTHER
རག་	རག་	VERB
རིམ་	རིམ་	NOUN
འགའ་ཞིག་	འགའ་ཞིག་	OTHER
ཕལ་སྐད་	ཕལ་སྐད་	NOUN
དུ་	ལ་	PART
གོ་	གོ་	PART
བདེ་	བདེ་	VERB
ར་	ལ་	PART
བྲིས་པ་	བྲིས་པ་	VERB
།		PUNCT
ཁ་སྦྱོར་	ཁ་སྦྱོར་	OTHER
