form	lemma	POS	morph
ཕག་མོ་	ཕག་མོ་	PROPN
རལ་གྲི་	རལ་གྲི་	NOUN
འི་	གི་	PART
གྲི་གུག་	གྲི་གུག་	NOUN
འཕྱར་	འཕྱར་	VERB
༔		PUNCT
གཡོན་	གཡོན་	NOUN
རྣམས་	རྣམས་	DET
ཐོད་པ་	ཐོད་པ་	NOUN
ཁྲག་	ཁྲག་	NOUN
བཀང་	བཀང་	VERB
བསྣམས་	བསྣམས་	NO_POS
༔		PUNCT
གྲུ་མོ་	གྲུ་མོ་	NOUN
གཡོན་	གཡོན་	NOUN
དུ་	ལ་	PART
ཁ་	ཁ་	PRON
ཊྭཱྃ་		NON_WORD
འཆང་	འཆང་	NO_POS
༔		PUNCT
རྒྱན་	རྒྱན་	NOUN
དང་	དང་	NO_POS
ཆ་ལུགས་	ཆ་ལུགས་	NOUN
གཙོ་	གཙོ་	NOUN
མོ་	མོ་	PRON
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
༔		PUNCT
འོད་ཟེར་	འོད་ཟེར་	NOUN
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
གཟི་བརྗིད་	གཟི་བརྗིད་	NOUN
འབའ་	འབའ་	VERB
༔		PUNCT
ཐུགས་	ཐུགས་	NOUN
གསུང་	གསུང་	VERB
སྐུ་	སྐུ་	NOUN
ཡི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
རུ་	ལ་	PART
༔		PUNCT
ཉེ་	ཉེ་	NUM
བཞི་	བཞི་	NUM
འི་	གི་	PART
དཔའ་བོ་	དཔའ་བོ་	NOUN
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་	མ་	PART
༔		PUNCT
མཐིང་	མཐིང་	NO_POS
དམར་	དམར་	VERB
དཀར་བ་	དཀར་བ་	VERB
འི་	གི་	PART
མདངས་	མདངས་	NOUN
འོད་	འོད་	NOUN
འཚེར་	འཚེར་	VERB
༔		PUNCT
ཡབ་	ཡབ་	NOUN
རྣམས་	རྣམས་	DET
ཌཱ་	ཌཱ་	NO_POS
རུ་	ལ་	PART
དྲིལ་བུ་	དྲིལ་བུ་	NOUN
འཁྲོལ་	འཁྲོལ་	NO_POS
༔		PUNCT
ཡུམ་	ཡུམ་	NOUN
རྣམས་	རྣམས་	DET
གྲི་གུག་	གྲི་གུག་	NOUN
ཐོད་པ་	ཐོད་པ་	NOUN
འཛིན་	འཛིན་	VERB
༔		PUNCT
ཁ་སྦྱོར་	ཁ་སྦྱོར་	OTHER
པད་	པད་	NO_POS
ཉི་	ཉི་	NUM
རོ་	རོ་	NOUN
ཡི་	གི་	PART
སྟེང་	སྟེང་	NOUN
༔		PUNCT
བདེ་བ་	བདེ་བ་	VERB
འི་	གི་	PART
གར་ཐབས་	གར་ཐབས་	NO_POS
ཅིར་	ཅིར་	NO_POS
ཡང་	ཀྱང་	PART
བསྒྱུར་	བསྒྱུར་	VERB
༔		PUNCT
སྒོ་	སྒོ་	NOUN
བཞི་	བཞི་	NUM
ར་	ལ་	PART
ཕྲ་མེན་	ཕྲ་མེན་	NO_POS
ཕྱོགས་	ཕྱོགས་	NOUN
ཀྱི་	གི་	PART
མདོག་	མདོག་	NOUN
༔		PUNCT
རིགས་	རིགས་	NOUN
ཀྱི་	གི་	PART
ཕྱག་མཚན་	ཕྱག་མཚན་	NOUN
ཐོད་པ་	ཐོད་པ་	NOUN
བསྣམས་	བསྣམས་	NO_POS
༔		PUNCT
མཚམས་	མཚམས་	NOUN
སུ་	ལ་	PART
དམ་ཚིག་	དམ་ཚིག་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
ནི་	ནི་	NO_POS
༔		PUNCT
ཕྱེད་གཟུགས་	ཕྱེད་གཟུགས་	NO_POS
གྲི་	གྲི་	NOUN
ཐོད་	ཐོད་	NOUN
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
འཆང་	འཆང་	NO_POS
༔		PUNCT
ཀུན་	ཀུན་	DET
ཀྱང་	ཀྱང་	PART
དུར་ཁྲོད་	དུར་ཁྲོད་	NOUN
རུས་པ་	རུས་པ་	NOUN
ས་	གིས་	PART
བརྒྱན་	བརྒྱན་	VERB
༔		PUNCT
སྟེང་འོག་	སྟེང་འོག་	NOUN
བར་མཚམས་	བར་མཚམས་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
དུ་	ལ་	PART
༔		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
སྤྲིན་	སྤྲིན་	NOUN
ལྟ་	ལྟ་	OTHER
གཏིབས་	གཏིབས་	NOUN
༔		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
གསུམ་	གསུམ་	NUM
དུ་	ལ་	PART
བྱིན་	བྱིན་	VERB
བརླབས་	བརླབས་	NO_POS
ཤིང་	ཅིང་	PART
༔		PUNCT
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ལྔ་ལྡན་	ལྔ་ལྡན་	OTHER
རང་དབང་	རང་དབང་	NOUN
རྫོགས་	རྫོགས་	VERB
༔		PUNCT
ཨོཾ་	ཨོཾ་	X
ཨཱཿ་		NON_WORD
ཧཱུྃ་		NON_WORD
༔		PUNCT
ཨོཾ་	ཨོཾ་	X
ཧཱུྃ་		NON_WORD
ཏྲཱྃ་		NON_WORD
ཧྲཱིཿ་		NON_WORD
ཨཱཿ་		NON_WORD
ཨ་	ཨ་	X
བྷི་		NON_WORD
ཥིཉྩ་		NON_WORD
མི་	མི་	PART
༔		PUNCT
ཞེ་	ཅེས་	PART
གསལ་བཏབ་	གསལ་བཏབ་	NO_POS
ལ་	ལ་	PART
སྤྱན་	སྤྱན་	NOUN
འདྲེན་	འདྲེན་	NO_POS
ན་	ནས་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
འི་	གི་	PART
བ་	བ་	NOUN
ལས་རིམ་	ལས་རིམ་	OTHER
མདོར་བསྡུས་	མདོར་བསྡུས་	OTHER
དང་	དང་	NO_POS
༔		PUNCT
བསྙེན་པ་	བསྙེན་པ་	VERB
དང་	དང་	NO_POS
༔		PUNCT
སྐུ་གསུང་ཐུགས་	སྐུ་གསུང་ཐུགས་	NOUN
ཀྱི་	གི་	PART
སྔགས་	སྔགས་	NOUN
བཟླཿ་		NON_WORD
འདི་	འདི་	DET
འང་	ཀྱང་	PART
གཏེར་ཆེན་	གཏེར་ཆེན་	OTHER
བླ་མ་	བླ་མ་	NOUN
ཉིད་	ཉིད་	DET
ཀྱི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
གསུང་	གསུང་	VERB
འཁྲུལ་པ་	འཁྲུལ་པ་	NO_POS
མེད་པ་	མེད་པ་	VERB
འོ་	གོ་	PART
།། །།		PUNCT
